,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
157,291,John Lucas III\lucasjo02,PG,32,DET,21,0,13.0,2.0,5.0,0.40399999999999997,0.4,1.4,0.31,1.6,3.6,0.44,0.447,0.2,0.2,1.0,0.2,0.6,0.8,2.9,0.4,0.0,0.8,0.9,4.7
158,297,Cartier Martin\martica01,SF,30,DET,23,0,8.6,0.7,2.3,0.28300000000000003,0.3,1.4,0.182,0.4,0.9,0.45,0.34,0.0,0.0,,0.0,0.9,0.9,0.5,0.1,0.0,0.2,0.9,1.6
159,314,Jodie Meeks\meeksjo01,SG,27,DET,60,0,24.4,3.7,8.9,0.41600000000000004,1.2,3.5,0.349,2.5,5.4,0.46,0.485,2.4,2.7,0.9059999999999999,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1
160,321,Quincy Miller\millequ01,PF,22,DET,4,0,14.5,1.3,5.0,0.25,0.5,2.8,0.182,0.8,2.3,0.33299999999999996,0.3,0.0,0.0,,0.5,1.5,2.0,1.3,0.3,0.5,0.5,1.3,3.0
161,327,Greg Monroe\monrogr01,PF,24,DET,69,57,31.0,6.1,12.4,0.496,0.0,0.0,,6.1,12.4,0.496,0.496,3.7,4.9,0.75,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9
162,376,Tayshaun Prince\princta01,SF,34,DET,23,7,24.8,3.0,7.0,0.431,0.5,1.1,0.423,2.5,5.8,0.433,0.466,0.8,1.3,0.655,1.1,3.1,4.2,1.7,0.7,0.3,0.7,1.1,7.3
163,410,Kyle Singler\singlky01,SF,26,DET,54,40,23.8,2.6,6.5,0.4,1.4,3.5,0.406,1.2,3.0,0.39299999999999996,0.509,0.5,0.7,0.8059999999999999,0.4,2.1,2.6,1.2,0.6,0.3,0.8,1.8,7.1
164,417,Josh Smith\smithjo03,PF,29,DET,28,28,32.0,5.5,14.0,0.391,0.3,1.3,0.243,5.1,12.6,0.40700000000000003,0.40299999999999997,1.9,4.0,0.46799999999999997,1.9,5.4,7.2,4.7,1.3,1.7,2.6,2.9,13.1
165,445,Anthony Tolliver\tollian01,PF,29,DET,52,11,22.3,2.6,6.1,0.423,1.6,4.4,0.36,1.0,1.8,0.5820000000000001,0.552,1.0,1.2,0.794,0.9,2.8,3.7,0.9,0.4,0.3,0.8,2.3,7.7
166,482,Shawne Williams\willish03,SF,28,DET,19,0,8.6,1.0,3.2,0.317,0.2,1.4,0.154,0.8,1.8,0.441,0.35,0.4,0.4,1.0,0.5,0.9,1.4,0.4,0.2,0.2,0.4,1.0,2.6
167,29,Leandro Barbosa\barbole01,SG,32,GSW,66,1,14.9,2.8,5.8,0.474,0.7,1.7,0.384,2.1,4.2,0.511,0.53,0.9,1.1,0.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1
168,32,Harrison Barnes\barneha02,SF,22,GSW,82,82,28.3,3.9,8.0,0.48200000000000004,1.1,2.6,0.405,2.8,5.4,0.519,0.5479999999999999,1.3,1.8,0.72,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
169,55,Andrew Bogut\bogutan01,C,30,GSW,67,65,23.6,3.0,5.3,0.563,0.0,0.0,,3.0,5.3,0.563,0.563,0.3,0.6,0.524,2.1,6.0,8.1,2.7,0.6,1.7,1.6,2.8,6.3
170,112,Stephen Curry\curryst01,PG,26,GSW,80,80,32.7,8.2,16.8,0.48700000000000004,3.6,8.1,0.44299999999999995,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8
